
 LIST ALL SELECTED NODES.   DSYS=      a

   NODE        X           Y           Z         THXY    THYZ    THZX
      106    6.1301      14.799      19.194        0.00    0.00    0.00
      107    4.1459      15.473      19.194        0.00    0.00    0.00
      108    2.0909      15.882      19.194        0.00    0.00    0.00
      109    0.0000      16.019      19.194        0.00    0.00    0.00
      110   -2.0909      15.882      19.194        0.00    0.00    0.00
      111   -4.1459      15.473      19.194        0.00    0.00    0.00
      112   -6.1301      14.799      19.194        0.00    0.00    0.00
      113   -8.0093      13.873      19.194        0.00    0.00    0.00
      114   -9.7515      12.708      19.194        0.00    0.00    0.00
      115   -11.327      11.327      19.194        0.00    0.00    0.00
      116   -12.708      9.7515      19.194        0.00    0.00    0.00
      117   -13.873      8.0093      19.194        0.00    0.00    0.00
      118   -14.799      6.1301      19.194        0.00    0.00    0.00
      119   -15.473      4.1459      19.194        0.00    0.00    0.00
      120   -15.882      2.0909      19.194        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
      121   -16.019      0.0000      19.194        0.00    0.00    0.00
      122   -15.882     -2.0909      19.194        0.00    0.00    0.00
      123   -15.473     -4.1459      19.194        0.00    0.00    0.00
      124   -14.799     -6.1301      19.194        0.00    0.00    0.00
      125   -13.873     -8.0093      19.194        0.00    0.00    0.00
      126   -12.708     -9.7515      19.194        0.00    0.00    0.00
      127   -11.327     -11.327      19.194        0.00    0.00    0.00
      128   -9.7515     -12.708      19.194        0.00    0.00    0.00
      129   -8.0093     -13.873      19.194        0.00    0.00    0.00
      130   -6.1301     -14.799      19.194        0.00    0.00    0.00
      131   -4.1459     -15.473      19.194        0.00    0.00    0.00
      132   -2.0909     -15.882      19.194        0.00    0.00    0.00
      133    0.0000     -16.019      19.194        0.00    0.00    0.00
      134    2.0909     -15.882      19.194        0.00    0.00    0.00
      135    4.1459     -15.473      19.194        0.00    0.00    0.00
      136    6.1301     -14.799      19.194        0.00    0.00    0.00
      137    8.0093     -13.873      19.194        0.00    0.00    0.00
      138    9.7515     -12.708      19.194        0.00    0.00    0.00
      139    11.327     -11.327      19.194        0.00    0.00    0.00
      140    12.708     -9.7515      19.194        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
      141    13.873     -8.0093      19.194        0.00    0.00    0.00
      142    14.799     -6.1301      19.194        0.00    0.00    0.00
      143    15.473     -4.1459      19.194        0.00    0.00    0.00
      144    15.882     -2.0909      19.194        0.00    0.00    0.00
      145    13.691      0.0000      20.918        0.00    0.00    0.00
      146    13.574      1.7871      20.918        0.00    0.00    0.00
      147    13.225      3.5436      20.918        0.00    0.00    0.00
      148    12.649      5.2395      20.918        0.00    0.00    0.00
      149    11.857      6.8457      20.918        0.00    0.00    0.00
      150    10.862      8.3348      20.918        0.00    0.00    0.00
      151    9.6813      9.6813      20.918        0.00    0.00    0.00
      152    8.3348      10.862      20.918        0.00    0.00    0.00
      153    6.8457      11.857      20.918        0.00    0.00    0.00
      154    5.2395      12.649      20.918        0.00    0.00    0.00
      155    3.5436      13.225      20.918        0.00    0.00    0.00
      156    1.7871      13.574      20.918        0.00    0.00    0.00
      157    0.0000      13.691      20.918        0.00    0.00    0.00
      158   -1.7871      13.574      20.918        0.00    0.00    0.00
      159   -3.5436      13.225      20.918        0.00    0.00    0.00
      160   -5.2395      12.649      20.918        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
      161   -6.8457      11.857      20.918        0.00    0.00    0.00
      162   -8.3348      10.862      20.918        0.00    0.00    0.00
      163   -9.6813      9.6813      20.918        0.00    0.00    0.00
      164   -10.862      8.3348      20.918        0.00    0.00    0.00
      165   -11.857      6.8457      20.918        0.00    0.00    0.00
      166   -12.649      5.2395      20.918        0.00    0.00    0.00
      167   -13.225      3.5436      20.918        0.00    0.00    0.00
      168   -13.574      1.7871      20.918        0.00    0.00    0.00
      169   -13.691      0.0000      20.918        0.00    0.00    0.00
